keyword_pencarian,username,timestamp,text
nikel papua,Kompas.com,2025-09-17T09:15:13.000Z,"Kementerian Energi dan Sumber Daya Mineral (ESDM) memastikan tambang nikel PT Gag Nikel di Pulau Gag, Raja Ampat, Papua Barat Daya kembali beroperasi untuk kepentingan audit lingkungan.

Baca di sini: 
money.kompas.com/read/2025/09/1
…

~TA #PTGagNikel #RajaAmpat"
nikel papua,nico delanoHenry@P.,2025-09-17T09:14:31.000Z,"Seperti Emas Freeport dan Nikel  Papua  di Garong  Jokowi  selama 9 tahun. 
Bukti  Akurat  SDA  pajak masuk APBN  7 %..  
Anak2  mantu  Jokowi  pamer2  BERLIAN.. BLUE SAFIR.. JAM  TANGAN 1 Milyar .. HERMES.. DIOR..LV."
nikel papua,yulian667192,2025-09-17T08:43:06.000Z,"Kalo Sumber Daya Alam yg jelas2 diatur di UU mengenai penegelolaan Nikel, Barubara dll gmn kabarnya 
@bahlillahadalia
 yg bahlul dan dongok serta munafiq gmn kabarnya rakyat Papua yg sumber saya alamnya dikeruk tp rakyat jauh dari kesejahteraan?"
nikel papua,CALLME GIBRAN,2025-09-17T05:22:40.000Z,"Nih gw perjelas yaaa, jokowi bisnis nikel di morowali, kolaka, Weda, konut, papua, dan bisnis batubara di kaltim, kalsel. Jadi semua karena bisnis mineral lah."
nikel papua,Media Indonesia,2025-09-17T05:05:52.000Z,"Sebenarnya kan diajak bicara dulu. Oke, PT GAG Nikel beroperasi kembali,  dengan catatan pekerjanya 80% orang dari Papua, 20% diperbolehkan dari  luar, khusus untuk yang ahli-ahli."
nikel papua,Dhe Papua ★≈,2025-09-17T03:00:15.000Z,"PT. GAG Nikel Beroperasi Lagi, Senator PFM : Kenapa Izin Dikeluarkan dan Orang Papua Tidak Diajak Bicara, Kebijakan ini Menyakiti Hati Orang Papua.

#saverajaampat #walhi #greenpeaceindonesia #savetanahpapua #kompas"
nikel papua,Indonesia Crowd,2025-09-16T13:23:16.000Z,"Respons Gubernur Papua Barat Daya Terkait Pembukaan Tambang Nikel PT Gag Nikel: Izin Berada di Pusat 
ift.tt/gVXn59C"
nikel papua,gajah bodoh,2025-09-16T08:20:29.000Z,"AHAaaa , gajah ada ide  :

2. Bahas strategi memberantas kemiskinan struktural dengan pacar
3. Menulusuri sumber dana jejak kekayaan presiden, wapres, menteri, DPR. 
4. Menulusuri proyek proyek janggal, misal Food Estate, IKN, Nikel Papua, Nikel maluku (Camping Date IKN)"
nikel papua,AfyRafly00,2025-09-16T07:25:07.000Z,"Gawat! Bahlil buka lagi izin tambang Nikel di pulau Gag Raja Ampat Papua... 
youtube.com/shorts/09frp2e
… lewat 
@YouTube"
nikel papua,Asdar Gaffar,2025-09-15T13:55:56.000Z,"kasihan warga lokal teriak"" protes, gak ada guna, ini papua di keruk terus, mulai nikel sampai emas melimpah, kalau di renungi pakai hati, sangat wajar mereka memohon ke penyelenggara negara,, teringat kiyai Gusdur, Alfatihah."
nikel papua,nico delanoHenry@P.,2025-09-15T12:53:36.000Z,"HASIL EMAS FREEPORT DAN NIKEL  PAPUA.. ASESORIS  ISTERI JOKOWI.
SEBELUM DI PDIP  KELUARGA JOKOWI MISKIN.. HIDUP APA ADANYA."
